PC,PT,CU,DCM,CH,TY,CT,TP,VF,VT,ZI,HY,BatLbl,StrLbl,CellLbl,Bat No,Str No,Blk Fr,Blk To,Ver,HV,LV,HZ,LZ,HT,LT,HC,LC,SP1,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank,Date,Current,Temp,Volt,Imp,Hydgn,Blank
1,1,1,0,1,C,1,,1,,,,UPS 2B,1,,1,1,,,2.2,,,,,27,10,50,,,31/3/2010,0.27,,,,,,1/4/2010,-0.15,,,,,,2/4/2010,-0.08,,,,,,3/4/2010,-0.1,,,,,,4/4/2010,-0.13,,,,,,5/4/2010,0.18,,,,,,6/4/2010,0,,,,,,7/4/2010,0.64,,,,,,8/4/2010,0.4,,,,,,9/4/2010,0,,,,,,10/4/2010,0.06,,,,,,11/4/2010,0.35,,,,,,12/4/2010,0.13,,,,,,13/4/2010,-0.59,,,,,,14/4/2010,-0.02,,,,,,15/4/2010,-0.08,,,,,,16/4/2010,-0.19,,,,,,17/4/2010,0.06,,,,,,18/4/2010,0.19,,,,,,19/4/2010,0.12,,,,,,20/4/2010,0.08,,,,,
1,1,1,0,2,C,2,,2,,,,UPS 2B,2,,1,2,,,2.2,,,,,,,50,,,,-0.29,,,,,,,-0.29,,,,,,,-0.35,,,,,,,-0.48,,,,,,,-0.37,,,,,,,-0.32,,,,,,,-0.46,,,,,,,-0.36,,,,,,,-0.46,,,,,,,-0.46,,,,,,,-0.42,,,,,,,-0.54,,,,,,,-0.46,,,,,,,-0.6,,,,,,,-0.69,,,,,,,-0.54,,,,,,,-0.58,,,,,,,-0.75,,,,,,,-0.58,,,,,,,-0.65,,,,,,,-0.4,,,,,
1,1,1,0,3,C,,1,3,,,,UPS 2B,1,,1,1,,,2.2,,,,,27,10,,,,,,18.54,,,,,,,18.86,,,,,,,19.19,,,,,,,18.64,,,,,,,18.37,,,,,,,18.41,,,,,,,18.58,,,,,,,18.65,,,,,,,18.55,,,,,,,18.54,,,,,,,18.87,,,,,,,18.84,,,,,,,19.16,,,,,,,19.34,,,,,,,18.98,,,,,,,19.02,,,,,,,19.29,,,,,,,19.38,,,,,,,19.5,,,,,,,19.41,,,,,,,20.03,,,,
1,1,1,0,4,C,,2,4,,,,UPS 2B,2,,1,2,,,2.2,,,,,27,10,,,,,,19,,,,,,,19.3,,,,,,,19.64,,,,,,,19.09,,,,,,,18.79,,,,,,,18.83,,,,,,,19.02,,,,,,,19.15,,,,,,,19.03,,,,,,,19,,,,,,,19.31,,,,,,,19.26,,,,,,,19.6,,,,,,,19.8,,,,,,,19.48,,,,,,,19.49,,,,,,,19.75,,,,,,,19.85,,,,,,,19.95,,,,,,,19.9,,,,,,,20.51,,,,
1,1,1,0,5,C,3,,,,,,UPS 2B,3,,1,3,,,2.2,,,,,,,50,,,,-0.48,,,,,,,-0.5,,,,,,,-0.71,,,,,,,-0.69,,,,,,,-0.63,,,,,,,-0.8,,,,,,,-0.83,,,,,,,-0.86,,,,,,,-1.1,,,,,,,-0.67,,,,,,,-0.25,,,,,,,-0.38,,,,,,,-0.48,,,,,,,-0.33,,,,,,,-0.33,,,,,,,-0.19,,,,,,,-0.12,,,,,,,-0.19,,,,,,,-0.4,,,,,,,-0.15,,,,,,,0.1,,,,,
1,1,1,0,6,C,4,,,,,,UPS 2A,1,,2,1,,,2.2,,,,,,,50,,,,0.5,,,,,,,0.31,,,,,,,0.46,,,,,,,0.37,,,,,,,0.63,,,,,,,0.52,,,,,,,0.5,,,,,,,0.73,,,,,,,0.33,,,,,,,0.33,,,,,,,0.37,,,,,,,0.42,,,,,,,0.29,,,,,,,0.5,,,,,,,0.37,,,,,,,0.38,,,,,,,0.48,,,,,,,0.38,,,,,,,0.79,,,,,,,0.48,,,,,,,0.15,,,,,
1,1,1,0,7,C,,3,,,,,UPS 2B,3,,1,3,,,2.2,,,,,27,10,,,,,,18.97,,,,,,,19.3,,,,,,,19.66,,,,,,,19.07,,,,,,,18.79,,,,,,,18.82,,,,,,,19.01,,,,,,,19.14,,,,,,,19.02,,,,,,,19,,,,,,,19.35,,,,,,,19.28,,,,,,,19.63,,,,,,,19.79,,,,,,,19.43,,,,,,,19.45,,,,,,,19.75,,,,,,,19.84,,,,,,,19.95,,,,,,,19.89,,,,,,,20.47,,,,
1,1,1,0,8,C,,4,,,,,UPS 2A,1,,2,1,,,2.2,,,,,27,10,,,,,,19.36,,,,,,,19.6,,,,,,,19.94,,,,,,,19.46,,,,,,,19.21,,,,,,,19.21,,,,,,,19.35,,,,,,,19.39,,,,,,,19.35,,,,,,,19.33,,,,,,,19.63,,,,,,,19.59,,,,,,,19.86,,,,,,,20.08,,,,,,,19.76,,,,,,,19.75,,,,,,,20.01,,,,,,,20.08,,,,,,,20.2,,,,,,,20.1,,,,,,,20.66,,,,
1,1,1,1,1,Z,,,,1,1,,UPS 2B,1,1,1,1,1,,2.2,14.4,12.5,6,1,,,,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.55,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.96,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,,,,,13.56,1.95,,
1,1,1,1,2,Z,,,,2,2,,UPS 2B,1,2,1,1,2,,2.2,14.4,12.5,6,1,,,,,,,,,13.57,2,,,,,,13.58,2,,,,,,13.57,2,,,,,,13.58,2,,,,,,13.58,2.01,,,,,,13.57,2,,,,,,13.57,2.01,,,,,,13.58,1.77,,,,,,13.57,2.01,,,,,,13.57,2.01,,,,,,13.57,2.01,,,,,,13.57,2,,,,,,13.57,2.01,,,,,,13.57,2.01,,,,,,13.57,2,,,,,,13.57,2.01,,,,,,13.57,2.01,,,,,,13.57,2.01,,,,,,13.57,2,,,,,,13.58,2.01,,,,,,13.57,2.01,,
